time,temperature_2m,wind_speed_10m,surface_pressure,wind_speed_90m,pressure_90m
2025-05-21 20:00:00,18.48,1.66,95.19,2.4520212828346395,94.19166259727724
2025-05-21 21:00:00,17.9,2.03,95.22,2.9985561470809143,94.21936835694686
2025-05-21 22:00:00,17.3,2.31,95.21,3.41215009840242,94.20741751601182
2025-05-21 23:00:00,16.75,2.56,95.19,3.7814304120823357,94.18573648160513
2025-05-22 00:00:00,16.34,2.7,95.15,3.9882273877430885,94.14474429770993
2025-05-22 01:00:00,16.08,2.7,95.1,3.9882273877430885,94.0943741495838
2025-05-22 02:00:00,15.96,2.39,95.06,3.5303197987799932,94.0543821139791
2025-05-22 03:00:00,16.02,2.17,95.02,3.205353122741667,94.0150127261647
2025-05-22 04:00:00,16.19,2.24,95.02,3.308751610572044,94.0156000686395
2025-05-22 05:00:00,16.29,2.36,95.06,3.4860061611384032,94.05552257272005
2025-05-22 06:00:00,16.47,2.42,95.12,3.574633436421583,94.1155099370997
2025-05-22 07:00:00,18.37,3.25,95.18,4.800644077838903,94.18139279288421
2025-05-22 08:00:00,20.28,4.26,95.21,6.2925365451057615,94.21754623326373
2025-05-22 09:00:00,21.74,4.9,95.21,7.237894148126347,94.22243429841068
2025-05-22 10:00:00,22.52,4.9,95.17,7.237894148126347,94.1854398602354
2025-05-22 11:00:00,23.23,4.63,95.11,6.839071409352036,94.12840547041986
2025-05-22 12:00:00,23.87,4.18,95.05,6.174366844728189,94.07112752986603
2025-05-22 13:00:00,24.31,3.58,94.98,5.288094091896391,94.0032878324002
2025-05-22 14:00:00,24.52,3.19,94.93,4.7120168025557225,93.95448713637944
2025-05-22 15:00:00,24.34,3.0,94.91,4.431363764158987,93.93410558154741
2025-05-22 16:00:00,23.41,3.0,94.94,4.431363764158987,93.9607516222674
2025-05-22 17:00:00,21.07,2.96,94.99,4.3722789139702005,94.002484256083
2025-05-22 18:00:00,19.18,2.75,95.07,4.062083450479071,94.07529616305528
2025-05-22 19:00:00,18.3,2.35,95.15,3.471234948591207,94.15146904037321
2025-05-22 20:00:00,17.56,2.57,95.2,3.796201624629532,94.19841466279709
2025-05-22 21:00:00,16.89,2.53,95.24,3.7371167744407456,94.23569141526684
2025-05-22 22:00:00,16.47,2.11,95.26,3.1167258474584876,94.25403150344951
2025-05-22 23:00:00,16.17,1.86,95.26,2.7474455337785724,94.25299393339805
2025-05-23 00:00:00,15.9,1.69,95.23,2.4963349204762295,94.22237571731826
2025-05-23 01:00:00,15.64,1.71,95.2,2.5258773455706227,94.1917910785403
2025-05-23 02:00:00,15.48,1.9,95.18,2.8065303839673583,94.17144708204425
2025-05-23 03:00:00,15.37,2.17,95.19,3.205353122741667,94.18095860748244
2025-05-23 04:00:00,15.28,2.34,95.21,3.4564637360440096,94.20043335581468
2025-05-23 05:00:00,15.17,2.35,95.28,3.471234948591207,94.26930770341451
2025-05-23 06:00:00,15.26,2.52,95.34,3.7223455618935493,94.32898515900544
2025-05-23 07:00:00,17.36,3.68,95.38,5.4358062173683575,94.3758337188131
2025-05-23 08:00:00,19.38,4.78,95.42,7.0606395975599865,94.42231315541284
