time,temperature_2m,wind_speed_10m,wind_speed_100m,surface_pressure,wind_speed_90m,pressure_90m
2024-10-28 02:00:00,16.1,2.361111111111111,4.083333333333333,1005.5,4.004528766256614,994.8681677416531
2024-10-28 03:00:00,16.1,2.75,4.75,1005.3,4.6584850188786495,994.6702824770601
2024-10-28 04:00:00,15.8,2.694444444444444,4.861111111111111,1005.7,4.761969881562981,995.055071034148
2024-10-28 05:00:00,15.9,2.888888888888889,5.361111111111112,1006.3,5.247988426113887,995.6523856383217
2024-10-28 06:00:00,16.1,3.333333333333333,5.888888888888888,1006.8,5.7719530796782745,996.1544219615082
2024-10-28 07:00:00,17.4,3.555555555555556,5.527777777777778,1007.4,5.43753383806089,996.7954856285786
2024-10-28 08:00:00,18.4,4.555555555555555,6.0,1008.5,5.933905846967914,997.9201272804056
2024-10-28 09:00:00,19.7,4.388888888888889,5.277777777777778,1008.6,5.237104452834956,998.0658021786035
2024-10-28 10:00:00,20.9,4.527777777777778,5.166666666666667,1008.5,5.137432714364014,998.0096074225289
2024-10-28 11:00:00,21.7,5.083333333333333,5.75,1008.0,5.719495006292883,997.5431092172661
2024-10-28 12:00:00,22.5,5.5,6.305555555555555,1007.4,6.268695354826122,996.9774652468274
2024-10-28 13:00:00,22.7,5.916666666666667,6.888888888888889,1006.7,6.8444024397326775,996.2917118326183
2024-10-28 14:00:00,22.5,5.833333333333333,6.944444444444445,1006.1,6.893602788265917,995.6909150137315
2024-10-28 15:00:00,22.1,5.611111111111111,6.777777777777777,1005.7,6.724394038790322,995.2810302198985
2024-10-28 16:00:00,21.4,5.611111111111111,6.833333333333334,1005.8,6.777407511536953,995.3553600387909
2024-10-28 17:00:00,20.3,5.333333333333333,6.722222222222221,1006.3,6.658670151999061,995.8112013979141
2024-10-28 18:00:00,19.1,4.972222222222221,6.527777777777778,1007.3,6.456599459127839,996.7578940690423
2024-10-28 19:00:00,18.5,4.305555555555555,6.083333333333333,1008.1,6.001986683447688,997.5279306337347
2024-10-28 20:00:00,18.3,4.666666666666667,6.583333333333333,1009.0,6.495631476425372,998.4112691722185
2024-10-28 21:00:00,18.0,4.555555555555555,6.111111111111111,1009.3,6.039932792461172,998.6972645770514
2024-10-28 22:00:00,17.8,4.277777777777778,5.888888888888888,1009.3,5.815168487430023,998.6900146646776
2024-10-28 23:00:00,17.4,3.555555555555556,5.472222222222222,1008.9,5.384520365314262,998.2796957024747
2024-10-29 00:00:00,17.2,3.1666666666666665,4.916666666666666,1008.5,4.836591058185484,997.8766323819586
2024-10-29 01:00:00,16.9,2.9166666666666665,4.722222222222222,1007.9,4.639604530932115,997.2720295222551
2024-10-29 02:00:00,16.5,2.4722222222222223,3.9722222222222223,1007.8,3.9035859863812097,997.1584862165178
2024-10-29 03:00:00,16.2,2.4722222222222223,3.8055555555555554,1007.3,3.744545568141322,996.6527965625668
2024-10-29 04:00:00,16.1,2.5,4.111111111111112,1007.2,4.037390709652247,996.5501924906944
2024-10-29 05:00:00,16.1,2.861111111111111,5.0,1007.4,4.902129811856334,996.7480777552873
2024-10-29 06:00:00,16.2,3.0555555555555554,5.111111111111111,1007.7,5.017054047180834,997.0485685457148
2024-10-29 07:00:00,17.5,3.138888888888889,4.666666666666667,1008.2,4.596759389421191,997.5906965034803
2024-10-29 08:00:00,18.3,4.75,6.027777777777778,1009.4,5.96930987317247,998.8070714593035
2024-10-29 09:00:00,20.2,4.222222222222222,5.027777777777778,1009.5,4.990917577048345,998.9742792440555
2024-10-29 10:00:00,21.7,4.666666666666667,5.305555555555556,1009.2,5.276321603252903,998.7306605377628
2024-10-29 11:00:00,22.6,5.416666666666667,6.277777777777778,1008.9,6.238375494239419,998.4654573209814
2024-10-29 12:00:00,23.4,6.027777777777778,7.027777777777778,1008.4,6.982020287217103,997.9986181744705
2024-10-29 13:00:00,23.8,6.194444444444445,7.333333333333333,1007.7,7.281220635750342,997.3197673571236
2024-10-29 14:00:00,23.4,6.638888888888888,7.944444444444445,1006.9,7.884705498434674,996.5140902815095
2024-10-29 15:00:00,22.8,6.638888888888888,8.083333333333334,1006.5,8.017239180301248,996.0972776110116
2024-10-29 16:00:00,21.7,6.722222222222221,8.5,1006.4,8.418653350114354,995.9597074566036
2024-10-29 17:00:00,20.3,6.527777777777778,8.527777777777777,1006.8,8.436262796656427,996.3059898314816
2024-10-29 18:00:00,18.9,6.083333333333333,8.277777777777779,1007.4,8.177365506825186,996.8496653375032
2024-10-29 19:00:00,18.1,6.25,8.833333333333334,1008.1,8.715126482718256,997.5134875599146
2024-10-29 20:00:00,17.4,5.805555555555555,8.5,1008.9,8.37670898376707,998.2796957024747
2024-10-29 21:00:00,17.3,4.888888888888889,7.638888888888888,1009.3,7.513055789847032,998.6718464332605
2024-10-29 22:00:00,17.2,4.361111111111111,6.666666666666666,1009.3,6.56117023009622,998.6682053179086
2024-10-29 23:00:00,17.1,3.9722222222222223,6.0,1008.7,5.9072139774741865,998.0708841709546
